§§§+------------+---------------+-------------------+------+
| first_name |   last_name   |       name        | year |
+------------+---------------+-------------------+------+
| Jack       | Aker          | Oakland Athletics | 1968 |
| Sal        | Bando         | Oakland Athletics | 1968 |
| Warren     | Bogle         | Oakland Athletics | 1968 |
| Bert       | Campaneris    | Oakland Athletics | 1968 |
| Danny      | Cater         | Oakland Athletics | 1968 |
| Chuck      | Dobson        | Oakland Athletics | 1968 |
| John       | Donaldson     | Oakland Athletics | 1968 |
| Dave       | Duncan        | Oakland Athletics | 1968 |
| Rollie     | Fingers       | Oakland Athletics | 1968 |
| Jim        | Gosger        | Oakland Athletics | 1968 |
| Dick       | Green         | Oakland Athletics | 1968 |
| Mike       | Hershberger   | Oakland Athletics | 1968 |
| Catfish    | Hunter        | Oakland Athletics | 1968 |
| Reggie     | Jackson       | Oakland Athletics | 1968 |
| Joe        | Keough        | Oakland Athletics | 1968 |
| Lew        | Krausse       | Oakland Athletics | 1968 |
| Ted        | Kubiak        | Oakland Athletics | 1968 |
| Rene       | Lachemann     | Oakland Athletics | 1968 |
| Tony       | LaRussa       | Oakland Athletics | 1968 |
| George     | Lauzerique    | Oakland Athletics | 1968 |
| Allan      | Lewis         | Oakland Athletics | 1968 |
| Paul       | Lindblad      | Oakland Athletics | 1968 |
| Rick       | Monday        | Oakland Athletics | 1968 |
| Jim        | Nash          | Oakland Athletics | 1968 |
| Blue Moon  | Odom          | Oakland Athletics | 1968 |
| Jim        | Pagliaroni    | Oakland Athletics | 1968 |
| Tony       | Pierce        | Oakland Athletics | 1968 |
| Floyd      | Robinson      | Oakland Athletics | 1968 |
| Phil       | Roof          | Oakland Athletics | 1968 |
| Joe        | Rudi          | Oakland Athletics | 1968 |
| Ken        | Sanders       | Oakland Athletics | 1968 |
| Diego      | Segui         | Oakland Athletics | 1968 |
| Ed         | Sprague       | Oakland Athletics | 1968 |
| Ramon      | Webster       | Oakland Athletics | 1968 |
| Sal        | Bando         | Oakland Athletics | 1969 |
| Vida       | Blue          | Oakland Athletics | 1969 |
| Bobby      | Brooks        | Oakland Athletics | 1969 |
| Bert       | Campaneris    | Oakland Athletics | 1969 |
| Danny      | Cater         | Oakland Athletics | 1969 |
| Chuck      | Dobson        | Oakland Athletics | 1969 |
| John       | Donaldson     | Oakland Athletics | 1969 |
| Dave       | Duncan        | Oakland Athletics | 1969 |
| Rollie     | Fingers       | Oakland Athletics | 1969 |
| Tito       | Francona      | Oakland Athletics | 1969 |
| Dick       | Green         | Oakland Athletics | 1969 |
| Larry      | Haney         | Oakland Athletics | 1969 |
| Mike       | Hershberger   | Oakland Athletics | 1969 |
| Catfish    | Hunter        | Oakland Athletics | 1969 |
| Reggie     | Jackson       | Oakland Athletics | 1969 |
| Bob        | Johnson       | Oakland Athletics | 1969 |
| Lew        | Krausse       | Oakland Athletics | 1969 |
| Ted        | Kubiak        | Oakland Athletics | 1969 |
| Marcel     | Lachemann     | Oakland Athletics | 1969 |
| Tony       | LaRussa       | Oakland Athletics | 1969 |
| George     | Lauzerique    | Oakland Athletics | 1969 |
| Allan      | Lewis         | Oakland Athletics | 1969 |
| Paul       | Lindblad      | Oakland Athletics | 1969 |
| Bill       | McNulty       | Oakland Athletics | 1969 |
| Rick       | Monday        | Oakland Athletics | 1969 |
| Jim        | Nash          | Oakland Athletics | 1969 |
| Joe        | Nossek        | Oakland Athletics | 1969 |
| Blue Moon  | Odom          | Oakland Athletics | 1969 |
| Jim        | Pagliaroni    | Oakland Athletics | 1969 |
| Juan       | Pizarro       | Oakland Athletics | 1969 |
| Tommie     | Reynolds      | Oakland Athletics | 1969 |
| Jim        | Roland        | Oakland Athletics | 1969 |
| Phil       | Roof          | Oakland Athletics | 1969 |
| Joe        | Rudi          | Oakland Athletics | 1969 |
| Ed         | Sprague       | Oakland Athletics | 1969 |
| Fred       | Talbot        | Oakland Athletics | 1969 |
| Jose       | Tartabull     | Oakland Athletics | 1969 |
| Gene       | Tenace        | Oakland Athletics | 1969 |
| Ramon      | Webster       | Oakland Athletics | 1969 |
| John       | Wyatt         | Oakland Athletics | 1969 |
| Felipe     | Alou          | Oakland Athletics | 1970 |
| Sal        | Bando         | Oakland Athletics | 1970 |
| Vida       | Blue          | Oakland Athletics | 1970 |
| Bobby      | Brooks        | Oakland Athletics | 1970 |
| Bert       | Campaneris    | Oakland Athletics | 1970 |
| Tommy      | Davis         | Oakland Athletics | 1970 |
| Chuck      | Dobson        | Oakland Athletics | 1970 |
| John       | Donaldson     | Oakland Athletics | 1970 |
| Al         | Downing       | Oakland Athletics | 1970 |
| Jim        | Driscoll      | Oakland Athletics | 1970 |
| Dave       | Duncan        | Oakland Athletics | 1970 |
| Frank      | Fernandez     | Oakland Athletics | 1970 |
| Rollie     | Fingers       | Oakland Athletics | 1970 |
| Tito       | Francona      | Oakland Athletics | 1970 |
| Mudcat     | Grant         | Oakland Athletics | 1970 |
| Dick       | Green         | Oakland Athletics | 1970 |
| Larry      | Haney         | Oakland Athletics | 1970 |
| Steve      | Hovley        | Oakland Athletics | 1970 |
| Catfish    | Hunter        | Oakland Athletics | 1970 |
| Reggie     | Jackson       | Oakland Athletics | 1970 |
| Bob        | Johnson       | Oakland Athletics | 1970 |
| Marcel     | Lachemann     | Oakland Athletics | 1970 |
| Tony       | LaRussa       | Oakland Athletics | 1970 |
| Allan      | Lewis         | Oakland Athletics | 1970 |
| Paul       | Lindblad      | Oakland Athletics | 1970 |
| Bob        | Locker        | Oakland Athletics | 1970 |
| Don        | Mincher       | Oakland Athletics | 1970 |
| Rick       | Monday        | Oakland Athletics | 1970 |
| Blue Moon  | Odom          | Oakland Athletics | 1970 |
| Darrell    | Osteen        | Oakland Athletics | 1970 |
| Roberto    | Pena          | Oakland Athletics | 1970 |
| Roberto    | Rodriguez     | Oakland Athletics | 1970 |
| Jim        | Roland        | Oakland Athletics | 1970 |
| Joe        | Rudi          | Oakland Athletics | 1970 |
| Diego      | Segui         | Oakland Athletics | 1970 |
| Fred       | Talbot        | Oakland Athletics | 1970 |
| Jose       | Tartabull     | Oakland Athletics | 1970 |
| Gene       | Tenace        | Oakland Athletics | 1970 |
| Dooley     | Womack        | Oakland Athletics | 1970 |
| Felipe     | Alou          | Oakland Athletics | 1971 |
| Dwain      | Anderson      | Oakland Athletics | 1971 |
| Sal        | Bando         | Oakland Athletics | 1971 |
| Curt       | Blefary       | Oakland Athletics | 1971 |
| Vida       | Blue          | Oakland Athletics | 1971 |
| Larry      | Brown         | Oakland Athletics | 1971 |
| Bert       | Campaneris    | Oakland Athletics | 1971 |
| Ron        | Clark         | Oakland Athletics | 1971 |
| Tommy      | Davis         | Oakland Athletics | 1971 |
| Chuck      | Dobson        | Oakland Athletics | 1971 |
| Dave       | Duncan        | Oakland Athletics | 1971 |
| Mike       | Epstein       | Oakland Athletics | 1971 |
| Frank      | Fernandez     | Oakland Athletics | 1971 |
| Frank      | Fernandez     | Oakland Athletics | 1971 |
| Rollie     | Fingers       | Oakland Athletics | 1971 |
| Rob        | Gardner       | Oakland Athletics | 1971 |
| Adrian     | Garrett       | Oakland Athletics | 1971 |
| Mudcat     | Grant         | Oakland Athletics | 1971 |
| Dick       | Green         | Oakland Athletics | 1971 |
| Mike       | Hegan         | Oakland Athletics | 1971 |
| George     | Hendrick      | Oakland Athletics | 1971 |
| Steve      | Hovley        | Oakland Athletics | 1971 |
| Catfish    | Hunter        | Oakland Athletics | 1971 |
| Reggie     | Jackson       | Oakland Athletics | 1971 |
| Ron        | Klimkowski    | Oakland Athletics | 1971 |
| Darold     | Knowles       | Oakland Athletics | 1971 |
| Marcel     | Lachemann     | Oakland Athletics | 1971 |
| Tony       | LaRussa       | Oakland Athletics | 1971 |
| Paul       | Lindblad      | Oakland Athletics | 1971 |
| Bob        | Locker        | Oakland Athletics | 1971 |
| Angel      | Mangual       | Oakland Athletics | 1971 |
| Don        | Mincher       | Oakland Athletics | 1971 |
| Rick       | Monday        | Oakland Athletics | 1971 |
| Blue Moon  | Odom          | Oakland Athletics | 1971 |
| Jim        | Panther       | Oakland Athletics | 1971 |
| Daryl      | Patterson     | Oakland Athletics | 1971 |
| Jim        | Roland        | Oakland Athletics | 1971 |
| Joe        | Rudi          | Oakland Athletics | 1971 |
| Diego      | Segui         | Oakland Athletics | 1971 |
| Gene       | Tenace        | Oakland Athletics | 1971 |
| Ramon      | Webster       | Oakland Athletics | 1971 |
| Matty      | Alou          | Oakland Athletics | 1972 |
| Brant      | Alyea         | Oakland Athletics | 1972 |
| Brant      | Alyea         | Oakland Athletics | 1972 |
| Dwain      | Anderson      | Oakland Athletics | 1972 |
| Sal        | Bando         | Oakland Athletics | 1972 |
| Curt       | Blefary       | Oakland Athletics | 1972 |
| Vida       | Blue          | Oakland Athletics | 1972 |
| Bobby      | Brooks        | Oakland Athletics | 1972 |
| Larry      | Brown         | Oakland Athletics | 1972 |
| Ollie      | Brown         | Oakland Athletics | 1972 |
| Bert       | Campaneris    | Oakland Athletics | 1972 |
| Orlando    | Cepeda        | Oakland Athletics | 1972 |
| Ron        | Clark         | Oakland Athletics | 1972 |
| Tim        | Cullen        | Oakland Athletics | 1972 |
| Dave       | Duncan        | Oakland Athletics | 1972 |
| Mike       | Epstein       | Oakland Athletics | 1972 |
| Rollie     | Fingers       | Oakland Athletics | 1972 |
| Adrian     | Garrett       | Oakland Athletics | 1972 |
| Dick       | Green         | Oakland Athletics | 1972 |
| Dave       | Hamilton      | Oakland Athletics | 1972 |
| Larry      | Haney         | Oakland Athletics | 1972 |
| Mike       | Hegan         | Oakland Athletics | 1972 |
| George     | Hendrick      | Oakland Athletics | 1972 |
| Ken        | Holtzman      | Oakland Athletics | 1972 |
| Joe        | Horlen        | Oakland Athletics | 1972 |
| Catfish    | Hunter        | Oakland Athletics | 1972 |
| Reggie     | Jackson       | Oakland Athletics | 1972 |
| Mike       | Kilkenny      | Oakland Athletics | 1972 |
| Darold     | Knowles       | Oakland Athletics | 1972 |
| Ted        | Kubiak        | Oakland Athletics | 1972 |
| Allan      | Lewis         | Oakland Athletics | 1972 |
| Bob        | Locker        | Oakland Athletics | 1972 |
| Angel      | Mangual       | Oakland Athletics | 1972 |
| Gonzalo    | Marquez       | Oakland Athletics | 1972 |
| Marty      | Martinez      | Oakland Athletics | 1972 |
| Dal        | Maxvill       | Oakland Athletics | 1972 |
| Denny      | McLain        | Oakland Athletics | 1972 |
| Bill       | McNulty       | Oakland Athletics | 1972 |
| Don        | Mincher       | Oakland Athletics | 1972 |
| Blue Moon  | Odom          | Oakland Athletics | 1972 |
| Jim        | Roland        | Oakland Athletics | 1972 |
| Joe        | Rudi          | Oakland Athletics | 1972 |
| Diego      | Segui         | Oakland Athletics | 1972 |
| Art        | Shamsky       | Oakland Athletics | 1972 |
| Don        | Shaw          | Oakland Athletics | 1972 |
| Gene       | Tenace        | Oakland Athletics | 1972 |
| Bill       | Voss          | Oakland Athletics | 1972 |
| Gary       | Waslewski     | Oakland Athletics | 1972 |
| Glenn      | Abbott        | Oakland Athletics | 1973 |
| Jesus      | Alou          | Oakland Athletics | 1973 |
| Mike       | Andrews       | Oakland Athletics | 1973 |
| Sal        | Bando         | Oakland Athletics | 1973 |
| Vida       | Blue          | Oakland Athletics | 1973 |
| Pat        | Bourque       | Oakland Athletics | 1973 |
| Bert       | Campaneris    | Oakland Athletics | 1973 |
| Rico       | Carty         | Oakland Athletics | 1973 |
